File Path	chrom://marshall/Chromeleon7/GC6850-F/Users/kellerp/20230310_PKe_PHB_836_Daria.seq/677.smp/GC_1.channel
Channel	GC_1

Injection Information:
Data Vault	Chromeleon7
Injection	PHB 10ug/mL
Injection Number	34
Position	2
Comment	
Processing Method	PHB
Instrument Method	20230310_PHB_quantification_adapted
Type	Calibration Standard
Status	Finished
Injection Date	3/10/2023
Injection Time	5:08:57 PM
Injection Volume (µl)	1.00
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000114
Time Max. (min)	8.022614
Data Points	9628
Detector	GC
Generating Data System	Chromeleon 7.2.8.10783
Exporting Data System	Chromeleon 7.2.8.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	pA
Signal Min.	-3.505339
Signal Max.	64,955.890234
Channel	GC_1
Driver Name	Hp6850
Channel Type	Evaluation
Min. Step (s)	0.05
Max. Step (s)	0.05
Average Step (s)	0.05

Signal Parameter Information:
Signal Info	

Raw Data:
Time (min)	Step (s)	Value (pA)
0.573447	0.05	-3.483594
0.574280	0.05	-3.483594
0.575114	0.05	-3.486979
0.575947	0.05	-3.486328
0.576780	0.05	-3.486979
0.577614	0.05	-3.481380
0.578447	0.05	-3.482422
0.579280	0.05	-3.480078
0.580114	0.05	-3.484766
0.580947	0.05	-3.478776
0.581780	0.05	-3.479557
0.582614	0.05	-3.476302
0.583447	0.05	-3.480208
0.584280	0.05	-3.478906
0.585114	0.05	-3.480469
0.585947	0.05	-3.481510
0.586780	0.05	-3.483724
0.587614	0.05	-3.486198
0.588447	0.05	-3.484766
0.589280	0.05	-3.486068
0.590114	0.05	-3.485807
0.590947	0.05	-3.484766
0.591780	0.05	-3.481250
0.592614	0.05	-3.480729
0.593447	0.05	-3.478255
0.594280	0.05	-3.477083
0.595114	0.05	-3.474740
0.595947	0.05	-3.479036
0.596780	0.05	-3.478776
0.597614	0.05	-3.480729
0.598447	0.05	-3.477995
0.599280	0.05	-3.482813
0.600114	0.05	-3.482422
0.600947	0.05	-3.486328
0.601780	0.05	-3.485156
0.602614	0.05	-3.482682
0.603447	0.05	-3.479297
0.604280	0.05	-3.480078
0.605114	0.05	-3.483984
0.605947	0.05	-3.487370
0.606780	0.05	-3.484635
0.607614	0.05	-3.485026
0.608447	0.05	-3.481380
0.609280	0.05	-3.485547
0.610114	0.05	-3.486328
0.610947	0.05	-3.490234
0.611780	0.05	-3.495182
0.612614	0.05	-3.495964
0.613447	0.05	-3.497266
0.614280	0.05	-3.490885
0.615114	0.05	-3.486328
0.615947	0.05	-3.483594
0.616780	0.05	-3.478516
0.617614	0.05	-3.480208
0.618447	0.05	-3.482422
0.619280	0.05	-3.484766
0.620114	0.05	-3.485547
0.620947	0.05	-3.480990
0.621780	0.05	-3.481250
0.622614	0.05	-3.482292
0.623447	0.05	-3.485938
0.624280	0.05	-3.489844
0.625114	0.05	-3.488802
0.625947	0.05	-3.486979
0.626780	0.05	-3.488411
0.627614	0.05	-3.489714
0.628447	0.05	-3.491536
0.629280	0.05	-3.471094
0.630114	0.05	-3.459766
0.630947	0.05	-3.458594
0.631780	0.05	-3.476042
0.632614	0.05	-3.485286
